,instructor,course,term,avg_grade,avg_hours,student_learning_rating,course_structure_rating,class_environment_rating,num_enrolled,resp_rate
0,"Kozameh, Sara J",HILA 118 - US Agression/Latin Am 1898-Prs (A00),WI24,3.54,5.80,4.8,4.87,4.9,38,0.2632
1,"Kozameh, Sara J",HILA 119 - CentralAmerica&US Intervention (A00),SP24,3.36,4.04,4.59,4.54,4.61,64,0.39060000000000006
2,"Cowan, Benjamin A",HILA 121B - History of Brazil 1889-Present (A00),FA23,3.28,5.75,4.55,4.51,4.43,52,0.3846
3,"Widener, Daniel",HILA 122 - ColonyToSocialistRepublic:Cuba (A00),FA23,2.91,5.91,4.75,4.55,4.79,40,0.3
4,"Vitz, Matthew",HILA 132 - Modern Mexico (A00),S123,3.44,8.33,4.83,4.79,4.83,30,0.2
5,"Kozameh, Sara J",HILA 144 - Topics/Latin American History (A00),SP24,3.17,3.86,4.7,4.57,4.76,50,0.42
6,"Cowan, Benjamin A",HILA 144 - Topics/Latin American History (A00),WI24,3.33,4.20,4.21,4.23,4.74,47,0.21280000000000002
7,"Murillo, Dana V.",HILA 144 - Topics/Latin American History (B00),WI24,3.56,2.67,4.75,4.74,4.79,13,0.4615
8,"Cowan, Benjamin A",HILA 162 - Special Topics/Latin Amer Hist (A00),FA23,3.79,6.00,4.8,4.5,4.63,12,0.4167
9,"Murillo, Dana V.",HILA 162 - Special Topics/Latin Amer Hist (B00),FA23,3.36,7.50,4.8,4.6,4.69,12,0.3333
10,"Hanna, Mark G.",HILD 2A - United States History (A00),FA23,3.29,5.85,4.35,4.33,4.53,181,0.36460000000000004
11,"Klann, Mary Cameron",HILD 2B - United States History (A00),WI24,3.68,3.95,4.65,4.74,4.8,186,0.22039999999999998
12,"Hendrickson, Gerald M.",HILD 2C - United States History (A00),SP24,2.59,3.95,4.43,4.46,4.68,117,0.1795
13,"Graham, Jessica Lynn",HILD 7A - Race & Ethnicity/United States (A00),FA23,3.57,5.83,4.27,4.12,4.48,365,0.3479
14,"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A00),WI24,3.61,3.36,4.56,4.52,4.6,363,0.3774
15,"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (B00),S223,3.38,5.45,4.61,4.53,4.7,64,0.17190000000000003
16,"Man, Simeon S",HILD 7B - Race & Ethnicity/United States (A00),S123,3.65,5.23,4.72,4.62,4.67,64,0.34380000000000005
17,"Bermudez, Rosie Cano",HILD 7C - Race & Ethnicity/United States (A00),SP24,3.69,3.99,4.1,4.09,4.26,377,0.3395
18,"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A00),FA23,2.67,6.71,4.04,4.01,4.41,165,0.4606
